vpid,artist
m00020pd,Lush
m00020pd,Mary Love
m00020pd,Mildred Maude
m00020pd,Mt. Mountain
m00020pd,Prince Buster
m00020pd,Rosali
m00020pd,Rustin Man
m00020pd,Scott William Urquhart
m00020pd,Sleaford Mods
m00020pd,Sounds Incorporated
m00020pd,Tav Falco
m00020pd,Teeth of the Sea
m00020pd,The Everly Brothers
m00020pd,The Fall
m00020pd,The Fiery Furnaces
m00020pd,The Sensory lllusions
m00020pd,The Spellbinder Project
m00020pd,The Stroppies
m00020pd,The Times
m00020pg,BC Camplight
m00020pg,Bacao Rhythm & Steel Band
m00020pg,David Axelrod
m00020pg,Gemma Ray
m00020pg,Hammock
m00020pg,Hollow Hand
m00020pg,Ibibio Sound Machine
m00020pg,James Yorkston
m00020pg,John Grant
m00020pg,Lizzo
m00020pg,Lucy Rose
m00020pg,Natalie Evans
m00020pg,Parekh & Singh
m00020pg,Pizzagirl
m00020pg,Skinshape
m00020pg,The Chills
m00020pj,Man
m00020pj,Radio Sweethearts
m00020pj,The High Llamas
m00020pn,Beastie Boys
m00020pn,Clint Eastwood & General Saint
m00020pn,Kraftwerk
m00020pn,Margot
m00020pn,Master Jay & Michael Dee
m00020pn,Masters at Work
m00020pn,Millennium
m00020pn,Optimo Jam
m00020pn,Red Axes
m00020pn,The Chemical Brothers
m00020pn,The Feedback
m00020pq,Bill Bailey
m00020pq,Frankie Howard & June Whitfield
m00020pq,Monty Python
m00020pq,Mulligan & O'Hare
m00020pq,Spinal Tap
m00020pq,The Goons
m00020pq,Victoria Wood
m00020ps,Airhead
m00020ps,Another Sky
m00020ps,Björk
m00020ps,Charlotte Gainsbourg
m00020ps,FUR
m00020ps,Franz Ferdinand
m00020ps,Inner City
m00020ps,Model Society
m00020ps,Naughty by Nature
m00020ps,Nina Simone
m00020ps,Otis Redding & Carla Thomas
m00020ps,Our Girl
m00020ps,Placebo
m00020ps,Planningtorock
m00020ps,Queens of the Stone Age
m00020ps,Sarah Nixey
m00020ps,Stealing Sheep
m00020ps,The Associates
m00020ps,The Clash
m00020ps,The Duke Spirit
m00020ps,The Libertines
m00020ps,The Prodigy
m00020ps,The Psychedelic Furs
m00020ps,The Smiths
m00020ps,The Temptations
m00020ps,The Vaccines
m00020ps,The Walkmen
m00020ps,Thundercat
m00020ps,Toro y Moi
m00020ps,Toto
m00020ps,Underworld
m00020ps,Unloved
m00020ps,Wu-Tang Clan
m00020ps,alt-J
m00020ps,slowthai
m00020ww,Andreya Triana
m00020ww,Anna Calvi
m00020ww,Beastie Boys
m00020ww,Broken Bells
m00020ww,Cassius
m00020ww,Chic
m00020ww,Courtney Barnett
m00020ww,David Bowie
m00020ww,Desmond Dekker & The Aces
m00020ww,Disclosure
m00020ww,Father John Misty
m00020ww,Gang Starr
m00020ww,Goldfrapp
m00020ww,Justice
m00020ww,LCD Soundsystem
m00020ww,Led Zeppelin
m00020ww,Little Dragon
m00020ww,Lizzo
m00020ww,Maribou State
m00020ww,Martha Reeves and The Vandellas
m00020ww,Marvin Gaye & Tammi Terrell
m00020ww,Missy Elliott
m00020ww,Natalie Evans
m00020ww,Parekh & Singh
m00020ww,Patti Smith
m00020ww,Peech Boys
m00020ww,Prince
m00020ww,Róisín Murphy
m00020ww,Smokey Robinson & The Miracles
m00020ww,Stevie Wonder
m00020ww,Sylvan Esso
m00020ww,The Beths
m00020ww,The Jon Spencer Blues Explosion
m00020ww,The Meters
m00020ww,The Specials
m00020ww,The Supremes
m00020ww,Tom Williams
m00020ww,You Tell Me
m00020ww,Young Fathers
m00020x0,Charlotte Gainsbourg
m00020x0,Cold War Kids
m00020x0,DJ Format
m00020x0,Death Cab for Cutie
m00020x0,Digital Underground
m00020x0,Ex:Re
m00020x0,Gaz Coombes
m00020x0,Gene
m00020x0,Ghosts of Social Networks
m00020x0,Josef K
m00020x0,Kingmaker
m00020x0,LOCKS
m00020x0,Lorraine Chandler
m00020x0,M.I.A.
m00020x0,Madder Rose
m00020x0,Mercury Rev
m00020x0,Neneh Cherry
m00020x0,Neon Waltz
m00020x0,Our Girl
m00020x0,Planningtorock
m00020x0,Public Practice
m00020x0,Puressence
m00020x0,Roots Manuva
m00020x0,Run‐D.M.C.
m00020x0,Symposium
m00020x0,The Beths
m00020x0,The Byrds
m00020x0,The Cure
m00020x0,The Prodigy
m00020x0,The Smiths
m00020x0,The Specials
m00020x0,Thundercat
m00020x0,Tom Williams
m00020x0,Unloved
m00020x0,Voice of the Beehive
m00020x0,Whipping Boy
m00020x0,Working Men's Club
m00020x0,Yak
